Rank,Team Name,Entry UID,Training Run Time (minutes),Validation AUROC,Validation AUPRC,Validation Accuracy,Validation F-measure,Validation Challenge Metric,Validation Run Time (minutes),CPSC Test AUROC,CPSC Test AUPRC,CPSC Test Accuracy,CPSC Test F-measure,CPSC Test Challenge Metric,CPSC Test Run Time (minutes),G12EC Test AUROC,G12EC Test AUPRC,G12EC Test Accuracy,G12EC Test F-measure,G12EC Test Challenge Metric,G12EC Test Run Time (minutes),Undisclosed Test AUROC,Undisclosed Test AUPRC,Undisclosed Test Accuracy,Undisclosed Test F-measure,Undisclosed Test Challenge Metric,Undisclosed Test Run Time (minutes),UMich Test AUROC,UMich Test AUPRC,UMich Test Accuracy,UMich Test F-measure,UMich Test Challenge Metric,UMich Test Run Time (minutes)
1,ISIBrno-AIMT,ISIBrnoAIMT_48,1630,0.904,0.426,0.302,0.409,0.638,2,0.963,0.811,0.422,0.206,0.725,1,0.877,0.419,0.25,0.404,0.617,2,0.922,0.598,0.346,0.448,0.532,4,0.88,0.449,0.308,0.416,0.589,8
2,NIMA,NIMA_597,599,0.944,0.541,0.349,0.467,0.652,6,0.969,0.845,0.591,0.198,0.772,1,0.931,0.539,0.253,0.484,0.62,4,0.929,0.624,0.277,0.4,0.424,8,0.933,0.533,0.303,0.475,0.574,16
2,DSAIL_SNU,DSAILSNU_594_1,2435,0.929,0.445,0.211,0.406,0.605,4,0.963,0.822,0.258,0.166,0.64,1,0.909,0.464,0.179,0.414,0.594,3,0.923,0.607,0.275,0.367,0.458,5,0.918,0.487,0.245,0.432,0.578,11
2,cardiochallenger,cardiochallenger_90_1,2497,0.924,0.474,0.321,0.412,0.642,6,0.95,0.805,0.405,0.177,0.699,3,0.906,0.48,0.268,0.412,0.619,3,0.866,0.472,0.253,0.309,0.434,6,0.909,0.485,0.297,0.418,0.568,12
5,USST_Med,USSTMed_406,75,0.92,0.433,0.213,0.419,0.597,10,0.954,0.822,0.252,0.2,0.574,5,0.909,0.475,0.179,0.433,0.597,4,0.928,0.607,0.242,0.429,0.463,8,0.908,0.498,0.233,0.449,0.559,12
6,CeZIS,CeZIS_417,786,0.904,0.573,0.388,0.54,0.717,33,0.979,0.889,0.65,0.471,0.91,6,0.902,0.555,0.286,0.523,0.673,23,0.916,0.643,0.208,0.444,0.271,21,0.875,0.546,0.315,0.518,0.563,70
6,SMS+1,SMS1_504,1148,0.908,0.44,0.228,0.391,0.568,249,0.949,0.77,0.37,0.177,0.638,68,0.888,0.426,0.175,0.39,0.554,184,0.898,0.563,0.323,0.35,0.487,345,0.895,0.445,0.224,0.401,0.523,697
8,DataLA_NUS,DataLANUS_551,1423,0.899,0.462,0.359,0.452,0.637,34,0.954,0.792,0.455,0.204,0.65,9,0.881,0.466,0.307,0.428,0.63,29,0.911,0.562,0.287,0.41,0.389,52,0.884,0.473,0.337,0.432,0.52,107
9,Dr_Cubic,DrCubic_273,953,0.926,0.561,0.348,0.522,0.666,5,0.972,0.853,0.585,0.212,0.845,1,0.863,0.535,0.28,0.487,0.637,4,0.732,0.5,0.251,0.333,0.239,7,0.901,0.538,0.299,0.47,0.536,16
9,ami_kagoshima,amikagoshima_387,2421,0.927,0.502,0.396,0.492,0.623,46,0.96,0.835,0.499,0.199,0.763,14,0.895,0.526,0.35,0.496,0.6,31,0.914,0.582,0.363,0.392,0.4,71,0.917,0.515,0.354,0.473,0.493,125
9,prna,prna_376,1369,0.913,0.445,0.335,0.419,0.578,230,0.927,0.787,0.562,0.193,0.666,64,0.894,0.441,0.244,0.415,0.553,151,0.923,0.569,0.354,0.375,0.438,282,0.898,0.458,0.292,0.421,0.489,538
