Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
OeDeepL_Complex	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
One_Heart_Health	 One_Heart_Health_1138_1	0.799	0.621	0.591	0.885	0.833	16967	0.739	0.603	0.515	0.785	0.668	13553	0.756	0.597	0.53	0.82	0.729	17637	2:33:57	1:29:42	0:13:13	0:48:55
PathToMyHeart	 PathToMyHeart_1382_1	nan	nan	nan	nan	nan	nan	0.887	0.738	0.697	0.792	0.72	12522	0.867	0.673	0.626	0.74	0.695	15615	0:00:27	nan	3:54:55	20:59:48
Proton	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
SAMI	 SAMI_1102_1	0.888	0.721	0.616	0.85	0.746	17685	0.864	0.754	0.561	0.826	0.716	13821	0.853	0.663	0.542	0.809	0.687	19141	0:05:01	0:00:47	0:00:11	0:00:25
SJ_TeamWhite	 SJTeamWhite_1182_2	1.0	1.0	1.0	1.0	1.0	16083	0.825	0.634	0.569	0.765	0.637	13021	0.818	0.625	0.582	0.79	0.688	18059	4:26:18	0:06:09	0:01:12	0:03:29
SeaCrying	 SeaCrying_1388_1	0.913	0.746	0.562	0.562	0.736	11150	0.783	0.626	0.478	0.456	0.609	10132	0.798	0.612	0.461	0.447	0.601	12126	7:24:27	0:43:00	0:06:46	0:20:40
Simulab	 Simulab_1282_1	0.861	0.689	0.496	0.54	0.658	12242	0.705	0.521	0.384	0.423	0.522	8866	0.711	0.53	0.398	0.497	0.593	13134	15:11:15	0:11:04	0:01:42	0:05:49
THE_ELITES	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TeamEIHW	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UCAS	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UV_MAIANS	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
UZ-ULPGC	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Ulster Engs	 UlsterEngs_1197_1	0.479	0.361	0.106	0.19	0.499	14851	0.493	0.349	0.102	0.181	0.467	13836	nan	nan	nan	nan	nan	nan	1:36:59	0:58:05	0:09:04	nan
Veteran	 Veteran_1400_1	nan	nan	nan	nan	nan	nan	0.796	0.648	0.514	0.799	0.606	15696	nan	nan	nan	nan	nan	nan	2:26:14	nan	3:02:03	nan
bric	 bric_1470_1	0.822	0.636	0.612	0.926	0.885	16041	0.672	0.533	0.477	0.772	0.578	14893	0.673	0.513	0.469	0.784	0.583	20397	12:11:55	10:02:25	1:33:33	5:20:27
cutcm	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
fly_h	 flyh_1423_1	0.635	0.509	0.472	0.805	0.574	21245	0.637	0.534	0.479	0.785	0.557	15962	0.614	0.481	0.444	0.778	0.525	22654	0:00:02	2:02:14	0:17:00	0:57:41
sakura	None	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
uestc-team	 uestcteam_1064_1	0.996	0.989	0.949	0.96	0.97	15501	0.751	0.574	0.533	0.631	0.595	13166	0.67	0.48	0.399	0.589	0.54	16675	0:16:31	0:11:03	0:01:55	0:05:47
uke-cardio	 ukecardio_1392_1	0.973	0.904	0.752	0.859	0.851	14804	0.892	0.794	0.584	0.732	0.682	10953	0.89	0.735	0.597	0.79	0.735	16570	27:07:53	0:40:22	0:06:14	0:19:31
