Rank	Team	Identifier	AUROC on Training Set	AUPRC on Training Set	F-measure on Training Set	Accuracy on Training Set	Weighted Accuracy on Training Set	Cost on Training Set	AUROC on Validation Set	AUPRC on Validation Set	F-measure on Validation Set	Accuracy on Validation Set	Weighted Accuracy on Validation Set	Cost on Validation Set	AUROC on Test Set	AUPRC on Test Set	F-measure on Test Set	Accuracy on Test Set	Weighted Accuracy on Test Set	Cost on Test Set	Training Time (h:mm:ss)	Run Time (h:mm:ss) on Training Set	Run Time (h:mm:ss) on Validation Set	Run Time (h:mm:ss) on Test Set
26	USST_Med	 USSTMed_1293_1	0.878	0.685	0.576	0.848	0.735	17812	0.744	0.577	0.467	0.758	0.571	14625	0.779	0.593	0.524	0.803	0.642	20146	0:02:46	0:05:59	0:01:18	0:03:10
27	PCGPAW	 PCGPAW_1479_1	0.921	0.787	0.551	0.85	0.685	20017	0.877	0.726	0.483	0.785	0.557	16230	0.89	0.721	0.522	0.824	0.637	20899	1:11:00	0:04:14	0:01:04	0:02:34
28	Melbourne_Kangas	 MelbourneKangas_1416_1	0.882	0.728	0.578	0.751	0.691	15852	0.797	0.639	0.524	0.732	0.626	12763	0.789	0.599	0.499	0.725	0.632	16647	11:16:36	12:17:29	1:57:57	5:34:28
29	SeaCrying	 SeaCrying_1388_1	0.913	0.746	0.562	0.562	0.736	11150	0.783	0.626	0.478	0.456	0.609	10132	0.798	0.612	0.461	0.447	0.601	12126	7:24:27	0:43:00	0:06:46	0:20:40
30	Simulab	 Simulab_1282_1	0.861	0.689	0.496	0.54	0.658	12242	0.705	0.521	0.384	0.423	0.522	8866	0.711	0.53	0.398	0.497	0.593	13134	15:11:15	0:11:04	0:01:42	0:05:49
31	MainLab	 MainLAB_1345_1	0.959	0.851	0.806	0.891	0.863	16177	0.775	0.616	0.605	0.765	0.609	14627	0.754	0.537	0.557	0.734	0.583	18475	2:45:41	0:03:49	0:01:11	0:02:24
32	Leicester Fox	 LeicesterFox_1067_2	0.984	0.96	0.755	0.902	0.825	17898	0.725	0.523	0.427	0.758	0.502	16230	0.764	0.608	0.449	0.782	0.536	22321	1:54:58	0:03:49	0:01:00	0:02:25
33	Eagles	 Eagles_1296_1	0.375	0.271	0.106	0.19	0.499	14851	0.395	0.29	0.102	0.181	0.467	13836	0.357	0.276	0.115	0.208	0.525	15083	0:04:47	0:08:55	0:01:36	0:04:12
33	fly_h	 flyh_1423_1	0.635	0.509	0.472	0.805	0.574	21245	0.637	0.534	0.479	0.785	0.557	15962	0.614	0.481	0.444	0.778	0.525	22654	0:00:02	2:02:14	0:17:00	0:57:41
33	lubdub	 lubdub_1464_1	0.503	0.338	0.116	0.191	0.501	14851	0.498	0.333	0.102	0.181	0.467	13836	0.5	0.333	0.115	0.208	0.525	15083	7:45:54	8:11:45	1:11:03	4:12:23
36	AKSJ_97BSc	 AKSJ97BSc_1430_1	0.836	0.601	0.559	0.625	0.682	12784	0.68	0.453	0.43	0.483	0.491	9383	0.655	0.425	0.425	0.491	0.494	13784	0:03:55	0:04:08	0:00:39	0:02:29
37	UKJ_FSU	 UKJ_FSU_1113_1	0.978	0.964	0.871	0.933	0.863	17517	0.603	0.427	0.357	0.678	0.398	17039	0.576	0.406	0.379	0.73	0.458	22574	26:00:17	0:04:29	0:00:47	0:01:50
38	BrownBAI	 BrownBAI_1353_1	0.745	0.525	0.516	0.623	0.59	15276	0.611	0.429	0.405	0.53	0.433	13731	0.571	0.367	0.361	0.526	0.406	18747	0:41:40	0:27:14	0:04:26	0:15:10
39	Bear_FH	 BearFH_1411_1	0.98	0.946	0.556	0.813	0.573	21457	0.679	0.469	0.319	0.711	0.394	18367	0.688	0.488	0.328	0.727	0.402	24406	0:00:06	0:00:29	0:00:06	0:00:15
40	MobiHealth	 mobihealth_1319_1	0.628	0.433	0.43	0.661	0.436	18373	0.602	0.407	0.462	0.624	0.467	13093	0.562	0.367	0.369	0.606	0.374	18822	0:25:14	1:05:43	0:10:52	0:31:17
