# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team,Challenge Score on the training set,Challenge Score on the validation set,Challenge Score on the test set,Outcome AUROC on the training set,Outcome AUROC on the validation set,Outcome AUROC on the test set,Outcome AUPRC on the training set,Outcome AUPRC on the validation set,Outcome AUPRC on the test set,Outcome Accuracy on the training set,Outcome Accuracy on the validation set,Outcome Accuracy on the test set,Outcome F-measure on the training set,Outcome F-measure on the validation set,Outcome F-measure on the test set,CPC MSE on the training set,CPC MSE on the validation set,CPC MSE on the test set,CPC MAE on the training set,CPC MAE on the validation set,CPC MAE on the test set
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Apnea-ai,0.246,0.119,0.124,0.661,0.504,0.51,0.756,0.653,0.672,0.549,0.421,0.418,0.548,0.418,0.417,6.292,8.383,8.356,1.939,2.383,2.376
Ara,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BioITACA_UPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BJUT-bme,0.327,0.269,0.262,0.720,0.744,0.724,0.814,0.817,0.802,0.682,0.701,0.725,0.579,0.604,0.58,3.715,3.435,3.644,1.393,1.295,1.278
Brainary,0.131,0.313,0.183,0.630,0.681,0.596,0.690,0.780,0.72,0.722,0.654,0.699,0.652,0.547,0.574,3.753,4.551,4.225,1.104,1.318,1.206
BrainExplore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BrownBAI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Buckeye AI,0.366,0.373,0.356,0.771,0.765,0.747,0.833,0.846,0.84,0.720,0.654,0.716,0.671,0.576,0.636,2.637,2.610,2.993,1.228,1.248,1.281
Cerenion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CeZIS,0.291,0.104,0.173,0.555,0.500,0.497,0.736,0.647,0.708,0.544,0.477,0.448,0.543,0.474,0.44,6.901,8.355,8.467,1.824,2.187,2.199
CHY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
coma-nication,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ComaKarma_AMC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CQUPT_MH_Team,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CVGJ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dreamer,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Edinburgh_AN,0.429,0.254,0.272,0.808,0.753,0.758,0.863,0.820,0.823,0.740,0.673,0.739,0.694,0.620,0.664,2.696,2.724,2.761,1.510,1.514,1.506
eHealth NSW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELTE-SP-Lab,0.479,0.149,0.188,0.870,0.583,0.575,0.882,0.704,0.726,0.672,0.477,0.444,0.671,0.476,0.443,2.952,5.346,5.255,1.143,1.794,1.817
EPOCA,0.474,0.328,0.347,0.818,0.714,0.771,0.873,0.811,0.846,0.751,0.654,0.735,0.706,0.591,0.653,2.306,3.020,2.611,1.191,1.423,1.28
GU_HIDS_LoneWolf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
