# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team,Challenge Score on the training set,Challenge Score on the validation set,Challenge Score on the test set,Outcome AUROC on the training set,Outcome AUROC on the validation set,Outcome AUROC on the test set,Outcome AUPRC on the training set,Outcome AUPRC on the validation set,Outcome AUPRC on the test set,Outcome Accuracy on the training set,Outcome Accuracy on the validation set,Outcome Accuracy on the test set,Outcome F-measure on the training set,Outcome F-measure on the validation set,Outcome F-measure on the test set,CPC MSE on the training set,CPC MSE on the validation set,CPC MSE on the test set,CPC MAE on the training set,CPC MAE on the validation set,CPC MAE on the test set
HeartsAndMinds,0.921,0.403,0.257,0.989,0.707,0.698,0.994,0.829,0.785,0.942,0.673,0.683,0.939,0.649,0.637,0.831,3.380,3.245,0.678,1.471,1.442
IIS,0.291,0.313,0.406,0.716,0.595,0.713,0.785,0.688,0.815,0.652,0.617,0.676,0.509,0.457,0.496,4.276,4.339,4.385,1.424,1.352,1.38
ISIBrno-AIMT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IWillSurvive,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
khuBME,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
klabs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kycosu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L_L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Labio_YH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Leicester Fox,0.453,0.299,0.272,0.770,0.747,0.737,0.857,0.813,0.833,0.672,0.654,0.722,0.609,0.576,0.664,2.764,2.699,2.753,1.500,1.483,1.468
MARTA,0.034,0.060,0.04,0.522,0.555,0.558,0.643,0.662,0.691,0.626,0.617,0.663,0.389,0.382,0.408,3.547,3.352,3.78,1.751,1.731,1.833
MBSI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melody,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ML_Explorer,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ModelExplorer,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MSU_BMW_lab,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MZR_UA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N/A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NAIL_Freiburg,0.471,0.209,0.228,0.858,0.590,0.662,0.876,0.711,0.765,0.807,0.645,0.725,0.760,0.540,0.599,5.051,8.308,7.948,1.338,2.196,2.072
NeuralRhythms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NeuTech_XJTLU,0.000,0.000,0,0.510,0.563,0.544,0.634,0.658,0.681,0.629,0.626,0.66,0.386,0.385,0.398,3.545,3.495,3.398,1.664,1.653,1.61
NitWITs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NMI_LEI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Noam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NTHU_SereneDream,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OPPO_Health_DS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
osu_cse_team_2,0.366,0.418,0.371,0.770,0.749,0.757,0.846,0.850,0.826,0.715,0.654,0.729,0.652,0.558,0.635,2.731,2.848,2.811,1.317,1.340,1.275
OUS_IVS,0.165,0.119,0.149,0.637,0.605,0.628,0.711,0.702,0.746,0.672,0.692,0.703,0.577,0.575,0.537,3.635,3.512,3.267,1.709,1.716,1.692
PA_HB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PandaWarrior,0.071,0.075,0.134,0.588,0.488,0.626,0.677,0.625,0.737,0.629,0.626,0.66,0.386,0.385,0.398,4.678,4.631,4.38,1.546,1.536,1.457
PES_OC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ROSCy Business,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD-DataSurfers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHE Lab,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sparty-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surv_to_End,0.387,0.269,0.342,0.770,0.650,0.716,0.845,0.769,0.817,0.654,0.645,0.67,0.468,0.456,0.436,2.270,2.998,2.648,1.185,1.429,1.3
swanseacsvision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Team KU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TEAM_NEURO_KGP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
terablue_vikings,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The_Bee_Team,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The_Terrables,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TheBIGbrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TsuiLab@CHOP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UIU_MAU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UniA4Life,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UOIML,0.340,0.269,0.386,0.744,0.682,0.746,0.824,0.762,0.837,0.708,0.692,0.722,0.649,0.629,0.633,4.275,4.131,4.203,1.224,1.196,1.183
UPFantastic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UTU_EEGenies,0.427,0.328,0.396,0.802,0.710,0.766,0.864,0.820,0.842,0.710,0.645,0.706,0.625,0.551,0.575,2.413,3.007,2.658,1.219,1.399,1.274
vee2team,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VitalLab,0.246,0.119,0.168,0.546,0.482,0.442,0.705,0.650,0.642,0.532,0.430,0.408,0.516,0.427,0.408,4.130,4.559,4.978,1.775,1.932,1.987
WesternUni,0.348,0.373,0.371,0.758,0.736,0.74,0.833,0.827,0.83,0.718,0.692,0.745,0.690,0.657,0.693,3.334,3.675,3.205,1.240,1.319,1.211
WomenLifeFreedom,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZJUT-Luckycloud,0.293,0.343,0.282,0.729,0.738,0.715,0.816,0.841,0.8,0.703,0.720,0.732,0.683,0.701,0.685,3.374,3.098,3.34,1.377,1.278,1.262
