# PhysioNet Challenge 2023 scores for unofficial teams at 72 hours after return of spontaneous circulation (ROSC)
Team	Challenge Score on the training set	Challenge Score on the validation set	Challenge Score on the test set	Outcome AUROC on the training set	Outcome AUROC on the validation set	Outcome AUROC on the test set	Outcome AUPRC on the training set	Outcome AUPRC on the validation set	Outcome AUPRC on the test set	Outcome Accuracy on the training set	Outcome Accuracy on the validation set	Outcome Accuracy on the test set	Outcome F-measure on the training set	Outcome F-measure on the validation set	Outcome F-measure on the test set	CPC MSE on the training set	CPC MSE on the validation set	CPC MSE on the test set	CPC MAE on the training set	CPC MAE on the validation set	CPC MAE on the test set
CeZIS	0.903	0.388	0.589	0.915	0.705	0.792	0.965	0.823	0.898	0.916	0.673	0.758	0.912	0.665	0.738	1.511	4.991	3.866	0.476	1.346	1.049
CHY	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
coma-nication	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ComaKarma_AMC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CQUPT_MH_Team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CVGJ	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
dreamer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Edinburgh_AN	0.479	0.313	0.337	0.834	0.738	0.754	0.881	0.812	0.834	0.743	0.682	0.732	0.691	0.614	0.644	2.593	2.759	2.821	1.483	1.525	1.527
eHealth NSW	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ELTE-SP-Lab	1.000	0.328	0.337	1.000	0.785	0.746	1.000	0.852	0.839	0.982	0.729	0.722	0.981	0.699	0.65	0.387	3.037	4.069	0.213	0.907	1.141
EPOCA	0.764	0.358	0.317	0.935	0.730	0.753	0.957	0.830	0.842	0.858	0.710	0.742	0.843	0.668	0.677	1.430	2.868	2.705	0.946	1.433	1.366
GU_HIDS_LoneWolf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
HeartsAndMinds	0.921	0.403	0.257	0.989	0.707	0.698	0.994	0.829	0.785	0.942	0.673	0.683	0.939	0.649	0.637	0.831	3.380	3.245	0.678	1.471	1.442
IIS	0.623	0.358	0.332	0.885	0.758	0.776	0.922	0.835	0.834	0.817	0.692	0.742	0.800	0.669	0.696	2.432	2.606	2.68	1.284	1.291	1.259
ISIBrno-AIMT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
IWillSurvive	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
khuBME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
klabs	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Kycosu	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
L_L	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Labio_YH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Leicester Fox	0.594	0.493	0.297	0.870	0.766	0.744	0.919	0.868	0.828	0.787	0.664	0.716	0.755	0.583	0.633	2.402	2.566	2.765	1.385	1.443	1.479
MARTA	0.128	0.090	0.134	0.536	0.585	0.552	0.667	0.678	0.698	0.626	0.636	0.654	0.416	0.432	0.421	3.465	3.856	3.682	1.655	1.760	1.713
MBSI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Melody	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ML_Explorer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ModelExplorer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MSU_BMW_lab	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MZR_UA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NAIL_Freiburg	0.990	0.209	0.599	0.992	0.792	0.851	0.997	0.845	0.905	0.988	0.710	0.801	0.988	0.686	0.77	0.414	4.907	3.487	0.127	1.374	0.971
NeuralRhythms	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NeuTech_XJTLU	0.029	0.045	0.069	0.508	0.532	0.515	0.634	0.647	0.668	0.629	0.626	0.66	0.386	0.385	0.398	3.498	3.468	3.367	1.672	1.669	1.629
NitWITs	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NMI_LEI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Noam	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NTHU_SereneDream	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
OPPO_Health_DS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
osu_cse_team_2	0.403	0.478	0.381	0.788	0.762	0.743	0.854	0.870	0.836	0.727	0.636	0.729	0.667	0.544	0.641	1.729	2.791	2.909	1.047	1.395	1.432
OUS_IVS	0.421	0.507	0.545	0.787	0.744	0.826	0.855	0.833	0.902	0.731	0.738	0.761	0.710	0.723	0.728	3.840	4.035	3.671	1.581	1.626	1.579
PA_HB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PandaWarrior	0.068	0.075	0.129	0.577	0.496	0.62	0.672	0.636	0.736	0.629	0.626	0.66	0.386	0.385	0.398	4.677	4.631	4.38	1.546	1.536	1.457
PES_OC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ROSCy Business	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SD-DataSurfers	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SHE Lab	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sparty-23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Surv_to_End	0.408	0.239	0.351	0.774	0.646	0.713	0.846	0.760	0.814	0.666	0.645	0.673	0.496	0.456	0.454	1.438	2.846	2.726	0.937	1.428	1.377
swanseacsvision	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Team KU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TEAM_NEURO_KGP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
terablue_vikings	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
The_Bee_Team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
The_Terrables	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TheBIGbrain	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TsuiLab@CHOP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UIU_MAU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UniA4Life	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UOIML	0.403	0.313	0.446	0.810	0.712	0.784	0.865	0.773	0.863	0.746	0.673	0.716	0.733	0.649	0.691	3.494	3.953	3.778	1.069	1.280	1.196
UPFantastic	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
UTU_EEGenies	0.704	0.433	0.238	0.921	0.782	0.74	0.950	0.858	0.814	0.837	0.710	0.735	0.817	0.658	0.661	1.591	2.841	2.709	0.990	1.429	1.367
vee2team	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
VitalLab	0.435	0.090	0.302	0.795	0.507	0.638	0.869	0.632	0.778	0.687	0.561	0.601	0.609	0.481	0.492	2.503	3.853	3.293	1.374	1.760	1.599
WomenLifeFreedom	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ZJUT-Luckycloud	0.678	0.299	0.421	0.893	0.743	0.763	0.933	0.826	0.862	0.812	0.701	0.712	0.793	0.677	0.656	1.930	2.799	2.776	1.083	1.433	1.353
