Team name	Leaderboard: SNR	Color scans of clean papers: SNR	Black-and-white scans of clean papers: SNR	Mobile phone photos of clean papers: SNR	Mobile phone photos of stained papers: SNR	Mobile phone photos of deteriorated papers: SNR	Color scans of deteriorated papers: SNR	Black-and-white scans of deteriorated papers: SNR	Screenshots of computer monitor: SNR
ECGénie	5.037	5.182	4.892	-4.936	-5.746	-1.975	-0.173	-0.228	-7.771
ZHAW_ET	-11.755	-10.335	-13.295	-12.853	-12.859	-12.877	-9.870	-12.945	-12.856
