Team name	Leaderboard: SNR	Color scans of clean papers: SNR	Black-and-white scans of clean papers: SNR	Mobile phone photos of clean papers: SNR	Mobile phone photos of stained papers: SNR	Mobile phone photos of deteriorated papers: SNR	Color scans of deteriorated papers: SNR	Black-and-white scans of deteriorated papers: SNR	Screenshots of computer monitor: SNR
ECGénie	0.057	0.054	0.060	-3.017	-3.080	-1.771	-0.193	-0.189	-3.787
The Easy Geese	-5.272	-0.071	-10.474	-2.330	-1.755	-1.346	0.061	-3.713	-1.739
